Iteration,Alpha
170,"0.20214943105307315,0.18525639177917919,0.1650694443960874,0.1551248526023479,0.14650640871417392,0.14589347145513837"
171,"0.20222078039643787,0.18519804319854372,0.16502282097265894,0.15524086417946065,0.14655225657291596,0.14576523467998284"
172,"0.20204176096736964,0.18502485345651637,0.16491540397409088,0.15531773483730513,0.14686468863909208,0.1458355581256258"
173,"0.2024836887126571,0.18510933138522906,0.16499052238288353,0.15530941819869218,0.14647898876145973,0.1456280505590784"
174,"0.2020553630169426,0.18485938241303157,0.1651589762700295,0.15548408947896764,0.1466376402698554,0.14580454855117325"
175,"0.2017917076515675,0.18496566218933005,0.16514231550716774,0.15545233631168984,0.146819457652447,0.14582852068779797"
176,"0.201584362458633,0.18494422597266336,0.16509021031741666,0.15546486964502487,0.14707507791608224,0.14584125369017978"
177,"0.20231923710572833,0.18545456535559096,0.16511092880804795,0.1551163024694375,0.1466454411109599,0.14535352515023522"
178,"0.20251751842986612,0.1856087737045364,0.16547353100622836,0.1549632601942963,0.1462865779604029,0.14515033870466984"
179,"0.20322782123929972,0.18598557561691123,0.1656230915796412,0.15458033214109249,0.1458642805547587,0.1447188988682966"
180,"0.20311581365265396,0.18578389422097236,0.16570007147588162,0.1546378566795607,0.14601688640113797,0.1447454775697935"
181,"0.20338593893054116,0.18580477866150533,0.16546958020408625,0.15460398283590554,0.14584698252753053,0.14488873684043113"
182,"0.2038489221431666,0.18591675527762078,0.1653192027316795,0.15438036707931588,0.14565705907834386,0.1448776936898734"
183,"0.2043916152477696,0.18606865809486023,0.1650931442608714,0.15423669896004047,0.14547541388652932,0.14473446954992905"
184,"0.20469778695710877,0.18653566190601445,0.1649504795692269,0.1541217040979908,0.14519786334604187,0.14449650412361734"
185,"0.20462361563371453,0.1863093559648876,0.16495801156922998,0.154286073302102,0.14520930055031667,0.14461364297974932"
186,"0.20452787736536934,0.1866313469077873,0.16501923766377685,0.15429179410398636,0.14497315955958248,0.14455658439949773"
187,"0.20400156843793435,0.186292735510383,0.16523730746738974,0.1544800836367144,0.14509619896787995,0.14489210597969854"
188,"0.20338606471316215,0.18652225259313784,0.1653562274207575,0.15455308302117202,0.1452415203744757,0.14494085187729486"
189,"0.20346082282443612,0.18695064424659844,0.16518537794630075,0.15443753079868477,0.1452291734531473,0.1447364507308326"
190,"0.20358153330259682,0.1870717900437069,0.1651547599931058,0.1543992516122221,0.14509297287947912,0.1446996921688893"
191,"0.2040481209567021,0.18737942106434463,0.16510517906014638,0.1542509256346404,0.14481197780254537,0.14440437548162127"
192,"0.20443315639334322,0.1872211903832356,0.165144027314545,0.1542327919149655,0.14459352566068936,0.14437530833322126"
193,"0.2046554359512995,0.18724341478702478,0.1654540819482189,0.15406904569837956,0.1445289922175494,0.14404902939752784"
194,"0.20495024211231547,0.18733252592553098,0.16544266951293982,0.15391230041881218,0.1444592135707585,0.14390304845964313"
195,"0.2053166550375467,0.1874398177369638,0.1653524787415934,0.15381559648691204,0.14428459328564994,0.1437908587113342"
196,"0.2052646061883897,0.18748251121698828,0.16541524593159251,0.15377675076379663,0.14436199473174371,0.1436988911674892"
197,"0.20505073365780338,0.18753599790005582,0.16546060556176068,0.15382714683177498,0.1443794541494151,0.14374606189919"
198,"0.20569180569630627,0.1881468209124467,0.16521601250762738,0.15351004602613458,0.14403373328629504,0.14340158157118987"
199,"0.20615582862706291,0.18851000441709728,0.165079047169035,0.15334571769841585,0.1438426351656212,0.14306676692276776"
200,"0.20690626538551024,0.18862705845287442,0.16484984599608454,0.15311419241792432,0.14363073692272904,0.1428719008248774"
201,"0.20683993178871918,0.18873061114079265,0.16490539720119907,0.15300993932993176,0.1436623976159483,0.14285172292340897"
202,"0.207186065342099,0.18886362018280228,0.16488344913959854,0.15291220115627976,0.14347229978659887,0.14268236439262155"
203,"0.20738319513492792,0.1889007790555544,0.16487272000302097,0.15294331314952117,0.14333041480525596,0.14256957785171956"
204,"0.20746505775294666,0.18916128863061146,0.1647613640036973,0.15289420476856364,0.14324011457892144,0.14247797026525952"
205,"0.20752683536024724,0.18897847747883673,0.1646480036140282,0.15291979833494126,0.14332313438010053,0.14260375083184598"
206,"0.20766421883429267,0.1892607523891699,0.16453189010709546,0.1528711571631307,0.14321268015013652,0.14245930135617468"
207,"0.2075434524496009,0.18918121630162235,0.1646498623449936,0.15302107649094399,0.14318833191938396,0.14241606049345534"
208,"0.20756196141409985,0.18933701980317205,0.1647198024894418,0.15304967918993095,0.1430851095206536,0.1422464275827018"
209,"0.20735428973974124,0.18954700046496464,0.16484370091252976,0.15311080537488556,0.14301925387621023,0.1421249496316686"
210,"0.2075372069397046,0.1894657895336741,0.1648237549265513,0.15315099948328292,0.14295964937782582,0.14206259973896118"
211,"0.20797863383722906,0.18926938200205265,0.1648164362190741,0.1531105593814036,0.142859046571931,0.1419659419883097"
212,"0.20797145335657802,0.18949173785648063,0.1649302540574184,0.15316852979056242,0.14275868871352596,0.14167933622543458"
213,"0.2075914163452552,0.18915244195954062,0.16499386387541257,0.15335384292850315,0.1430062259269147,0.14190220896437378"
214,"0.20810352492592007,0.1894620179486386,0.16491952169312127,0.15314577539690585,0.14274394404602492,0.14162521598938924"
